Festival,Year,Award,Award Category,Title,Winner,Length,Directors,Countries,URL
Cannes Film Festival,2000,Palme d'Or,,Dancer in the Dark,True,2 hours 20 minutes,Lars von Trier,"Denmark,Germany,Netherlands,Italy,United States,United Kingdom,France,Sweden,Finland,Iceland,Norway",https://www.imdb.com/title/tt0168629/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Bread and Roses,False,1 hour 50 minutes,Ken Loach,"United Kingdom,France,Germany,Spain,Italy,Switzerland",https://www.imdb.com/title/tt0212826/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Chunhyang,False,2 hours 17 minutes,Im Kwon-taek,South Korea,https://www.imdb.com/title/tt0245837/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Code inconnu: Récit incomplet de divers voyages,False,1 hour 58 minutes,Michael Haneke,"France,Austria,Romania,Germany",https://www.imdb.com/title/tt0216625/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Devils on the Doorstep,False,2 hours 19 minutes,Wen Jiang,China,https://www.imdb.com/title/tt0245929/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Esther Kahn,False,2 hours 37 minutes,Arnaud Desplechin,"France,United Kingdom",https://www.imdb.com/title/tt0183056/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Eureka,False,3 hours 37 minutes,Shinji Aoyama,"Japan,France",https://www.imdb.com/title/tt0243889/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Trolösa,False,2 hours 34 minutes,Liv Ullmann,"Sweden,Italy,Germany,Finland,Norway",https://www.imdb.com/title/tt0157122/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Fast Food Fast Women,False,1 hour 35 minutes,Amos Kollek,"France,Italy,United States",https://www.imdb.com/title/tt0206742/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Gohatto,False,1 hour 40 minutes,Nagisa Ôshima,"Japan,France,United Kingdom",https://www.imdb.com/title/tt0213682/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,"Harry, He's Here to Help",False,1 hour 57 minutes,Dominik Moll,France,https://www.imdb.com/title/tt0216800/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,In the Mood for Love,False,1 hour 38 minutes,Kar-Wai Wong,"Hong Kong,France",https://www.imdb.com/title/tt0118694/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Kippur,False,1 hour 57 minutes,Amos Gitai,"Israel,France",https://www.imdb.com/title/tt0218379/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Nurse Betty,False,1 hour 50 minutes,Neil LaBute,"Germany,United States",https://www.imdb.com/title/tt0171580/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,"O Brother, Where Art Thou?",False,1 hour 47 minutes,"Joel Coen,Ethan Coen","United Kingdom,France,United States",https://www.imdb.com/title/tt0190590/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Sentimental Destinies,False,3 hours,Olivier Assayas,"France,Switzerland",https://www.imdb.com/title/tt0216689/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Songs from the Second Floor,False,1 hour 38 minutes,Roy Andersson,"Sweden,Norway,Denmark,France,Germany",https://www.imdb.com/title/tt0120263/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,The Blackboard,False,1 hour 25 minutes,Samira Makhmalbaf,"Iran,Italy,Japan",https://www.imdb.com/title/tt0246266/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,The Golden Bowl,False,2 hours 10 minutes,James Ivory,"United States,France,United Kingdom",https://www.imdb.com/title/tt0200669/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Svadba,False,1 hour 54 minutes,Pavel Lungin,"France,Russia,Germany",https://www.imdb.com/title/tt0246119/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,The Yards,False,1 hour 55 minutes,James Gray,United States,https://www.imdb.com/title/tt0138946/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Estorvo,False,1 hour 35 minutes,Ruy Guerra,"Brazil,Cuba,Portugal",https://www.imdb.com/title/tt0189509/?ref_=ev_nom
Cannes Film Festival,2000,Palme d'Or,,Yi Yi,False,2 hours 53 minutes,Edward Yang,"Taiwan,Japan",https://www.imdb.com/title/tt0244316/?ref_=ev_nom
